Straßennummer,Straßenname,Ortsbezirk,Stadtteil Name,Stadtbezirk,Stadtbezirksvorst,Schiedsleutebezirk,Sozialrathaus Name,Polizeirevier,Postleitzahl,Address,Latitude,Longitude,class,type
2669,Alt-Kalbach,12,Kalbach-Riedberg,650,12.79,12,Nord,14.0,60437,Alt-Kalbach 60437 Frankfurt,50.1891678,8.6348389,highway,way
66,Alt-Nied,6,Nied,561,6.42,6A,Höchst,16.0,65934,Alt-Nied 65934 Frankfurt,50.0988889,8.5662778,highway,way
2753,Alt-Niedereschbach,15,Nieder-Eschbach,670,15.82,15,Nord,14.0,60437,Alt-Niedereschbach 60437 Frankfurt,50.2011514,8.6738774,highway,way
67,Alt-Niederursel,8,Niederursel,481,8.63,8,Nord,14.0,60439,Alt-Niederursel 60439 Frankfurt,50.1664664,8.6217267,highway,way
68,Alt-Praunheim,7,Praunheim,425,7.6,7,Bockenheim,14.0,60488,Alt-Praunheim 60488 Frankfurt,50.1481574,8.6211212,highway,way
69,Alt-Preungesheim,10,Preungesheim,470,10.73,10,Dornbusch,12.0,60435,Alt-Preungesheim 60435 Frankfurt,50.1549512,8.6878096,highway,way
70,Alt-Rödelheim,7,Rödelheim,402,7.56,7,Bockenheim,11.0,60489,Alt-Rödelheim 60489 Frankfurt,50.1253732,8.6117602,highway,way
71,Alt-Schwanheim,6,Schwanheim,531,6.38,6A,Sachsenhausen,10.0,60529,Alt-Schwanheim 60529 Frankfurt,50.0854655,8.5814878,highway,way
72,Alt-Seckbach,11,Seckbach,390,11.75,11,Ost,6.0,60389,Alt-Seckbach 60389 Frankfurt,50.1456937,8.7263827,highway,way
73,Alt-Sindlingen,6,Sindlingen,601,6.47,6B,Höchst,17.0,65931,Alt-Sindlingen 65931 Frankfurt,50.0809265,8.5191074,highway,way
74,Alt-Sossenheim,6,Sossenheim,632,6.54,6C,Höchst,17.0,65936,Alt-Sossenheim 65936 Frankfurt,50.1197328,8.5666663,highway,way
75,Alt-Zeilsheim,6,Zeilsheim,611,6.49,6B,Höchst,17.0,65931,Alt-Zeilsheim 65931 Frankfurt,50.0964575,8.4904404,highway,way
43,Alte Brücke,5,Sachsenhausen-N.,300,5.31,5A,Sachsenhausen,8.0,60594,Alte Brücke 60594 Frankfurt,50.107379,8.6877596,highway,way
2636,Alte Fahrt,13,Nieder-Erlenbach,640,13.8,13,Nord,14.0,60437,Alte Fahrt 60437 Frankfurt,50.2014224,8.7099306,highway,way
44,Alte Falterstraße,6,Griesheim,541,6.39,6A,Gallus,16.0,65933,Alte Falterstraße 65933 Frankfurt,50.0940598,8.6073087,highway,way
45,Alte Gasse,1,Innenstadt,60,1.02,1,Ost,1.0,60313,Alte Gasse 60313 Frankfurt,50.1169628,8.6858868,highway,way
2737,Alte Hofgasse,15,Nieder-Eschbach,670,15.82,15,Nord,14.0,60437,Alte Hofgasse 60437 Frankfurt,50.2006687,8.6740217,highway,way
47,Alte Mainzer Gasse,1,Altstadt,10,1.01,1,Ost,1.0,60311,Alte Mainzer Gasse 60311 Frankfurt,50.109323,8.6803583,highway,way
